GEOID,Dg
18101,2.22844760981964
18103,2.44372746664599
18105,2.27012640879679
18107,2.13844613389566
18109,2.18495157899598
18111,2.22230557307414
18113,2.50461324160041
18115,2.21409073956277
18117,2.27198260309521
18119,2.29146221539373
18121,2.20238893398421
18123,2.17691132466581
18125,2.320464733589
18127,2.23500830035782
18129,2.75880395613067
18131,2.09032310739438
18133,2.24589663832288
18135,2.32183498875575
18137,2.22542255570064
18139,2.21879427206489
18141,2.36400628678685
18143,2.12529007649389
18145,2.22783657657528
18147,2.25971210822353
18149,2.37530815084838
18151,2.57628922597807
18153,2.35247257094616
18155,2.26046035891533
18157,2.20213164724932
18159,2.13014258274582
18161,2.12673306325794
18163,2.59838241142416
18165,2.14011202658619
18167,2.22004530347583
18169,2.38239820624313
